frequency_start[GHz],frequency_end[GHz],r_step210_LFA_start,r_step210_LFA_end,r_step216_LFA_start,r_step216_LFA_end,r_step222_LFA_start,r_step222_LFA_end,r_step228_LFA_start,r_step228_LFA_end,r_step235_LFA_start,r_step235_LFA_end,r_step241_LFA_start,r_step241_LFA_end,r_step248_LFA_start,r_step248_LFA_end,r_step256_LFA_start,r_step256_LFA_end,r_step263_LFA_start,r_step263_LFA_end,r_step270_LFA_start,r_step270_LFA_end,r_step278_LFA_start,r_step278_LFA_end,r_step286_LFA_start,r_step286_LFA_end,r_step294_LFA_start,r_step294_LFA_end,r_step303_LFA_start,r_step303_LFA_end,r_step312_LFA_start,r_step312_LFA_end,r_step210_HFA_start,r_step210_HFA_end,r_step216_HFA_start,r_step216_HFA_end,r_step222_HFA_start,r_step222_HFA_end,r_step228_HFA_start,r_step228_HFA_end,r_step235_HFA_start,r_step235_HFA_end,r_step241_HFA_start,r_step241_HFA_end,r_step248_HFA_start,r_step248_HFA_end,r_step256_HFA_start,r_step256_HFA_end,r_step263_HFA_start,r_step263_HFA_end,r_step270_HFA_start,r_step270_HFA_end,r_step278_HFA_start,r_step278_HFA_end,r_step286_HFA_start,r_step286_HFA_end,r_step294_HFA_start,r_step294_HFA_end,r_step303_HFA_start,r_step303_HFA_end,r_step312_HFA_start,r_step312_HFA_end
234.4242330013163,236.76847533132948,0.0103224891194508,0.0107611697065618,0.0089456129670218,0.0094579629668218,0.0073299482373694,0.0079582934576226,0.0052594043646262,0.0061189930234104,0.0,0.0027411866737748,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
236.76847533132948,239.1361600846428,0.0107611697065618,0.0111798335458611,0.0094579629668218,0.0099407384531341,0.0079582934576226,0.0085367518408069,0.0061189930234104,0.006867132107512,0.0027411866737748,0.0041747874317071,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
239.1361600846428,241.5275216854892,0.0111798335458611,0.013,0.0099407384531341,0.0103980726302874,0.0085367518408069,0.0090748830122899,0.006867132107512,0.0075371005431437,0.0041747874317071,0.0052228095765125,0.0,0.0014816522328542,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
241.5275216854892,243.9427969023441,nan,nan,0.0103980726302874,0.0108332005843055,0.0090748830122899,0.0095794996373085,0.0075371005431437,0.0081482198661165,0.0052228095765125,0.0060877778631907,0.0014816522328542,0.0034850102730194,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
243.9427969023441,246.38222487136755,nan,nan,0.0108332005843055,0.013,0.0095794996373085,0.0100556619330661,0.0081482198661165,0.0087128972753534,0.0060877778631907,0.0068395186043484,0.0034850102730194,0.0046935383721146,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
246.38222487136755,248.84604712008124,nan,nan,nan,nan,0.0100556619330661,0.0105072519337906,0.0087128972753534,0.0092396660901695,0.0068395186043484,0.0075121190865905,0.0046935383721146,0.0056433656722142,0.0,0.0018487806273278,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
248.84604712008124,251.3345075912821,nan,nan,nan,nan,0.0105072519337906,0.0109373261555647,0.0092396660901695,0.0097346961033819,0.0075121190865905,0.0081252730600743,0.0056433656722142,0.0064498359303356,0.0018487806273278,0.0036551186576654,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
251.3345075912821,253.84785266719487,nan,nan,nan,nan,0.0109373261555647,0.013,0.0097346961033819,0.0102026215016034,0.0081252730600743,0.0086915861891888,0.0064498359303356,0.0071615634711758,0.0036551186576654,0.0048203557998659,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
253.84785266719487,256.3863311938668,nan,nan,nan,nan,nan,nan,0.0102026215016034,0.0106470292648892,0.0086915861891888,0.009219708602969,0.0071615634711758,0.0078045286157627,0.0048203557998659,0.0057485709556835,0.0,0.0012306012727374,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
256.3863311938668,258.9501945058055,nan,nan,nan,nan,nan,nan,0.0106470292648892,0.0110707641861265,0.009219708602969,0.0097158839357444,0.0078045286157627,0.0083945624198239,0.0057485709556835,0.0065414732606536,0.0012306012727374,0.0033865753862415,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
